Affixed_Word,Root_Word,Affix_Category,Affix_Pattern,Meaning_EN
kerendo,rendo,Prefix,ke-,Synthetic meaning for rendo
belumang,lumang,Prefix,be-,Synthetic meaning for lumang
kebinar,binar,Prefix,ke-,Synthetic meaning for binar
pebento,bento,Prefix,pe-,Synthetic meaning for bento
serendo,rendo,Prefix,se-,Synthetic meaning for rendo
sesuren,suren,Prefix,se-,Synthetic meaning for suren
pesarek,sarek,Prefix,pe-,Synthetic meaning for sarek
belumang,lumang,Prefix,be-,Synthetic meaning for lumang
sepelak,pelak,Prefix,se-,Synthetic meaning for pelak
keulow,ulow,Prefix,ke-,Synthetic meaning for ulow
betando,tando,Prefix,be-,Synthetic meaning for tando
betando,tando,Prefix,be-,Synthetic meaning for tando
kengele,ngele,Prefix,ke-,Synthetic meaning for ngele
semure,mure,Prefix,se-,Synthetic meaning for mure
sedulen,dulen,Prefix,se-,Synthetic meaning for dulen
beserek,serek,Prefix,be-,Synthetic meaning for serek
pesemak,semak,Prefix,pe-,Synthetic meaning for semak
kebengo,bengo,Prefix,ke-,Synthetic meaning for bengo
berendo,rendo,Prefix,be-,Synthetic meaning for rendo
kebento,bento,Prefix,ke-,Synthetic meaning for bento
betulan,tulan,Prefix,be-,Synthetic meaning for tulan
selenga,lenga,Prefix,se-,Synthetic meaning for lenga
sedulen,dulen,Prefix,se-,Synthetic meaning for dulen
kegupak,gupak,Prefix,ke-,Synthetic meaning for gupak
segawai,gawai,Prefix,se-,Synthetic meaning for gawai
sesuren,suren,Prefix,se-,Synthetic meaning for suren
kelenga,lenga,Prefix,ke-,Synthetic meaning for lenga
setenyang,tenyang,Prefix,se-,Synthetic meaning for tenyang
setenyang,tenyang,Prefix,se-,Synthetic meaning for tenyang
perawa,rawa,Prefix,pe-,Synthetic meaning for rawa
kedulen,dulen,Prefix,ke-,Synthetic meaning for dulen
bengele,ngele,Prefix,be-,Synthetic meaning for ngele
ketenyang,tenyang,Prefix,ke-,Synthetic meaning for tenyang
kelupak,lupak,Prefix,ke-,Synthetic meaning for lupak
sepade,pade,Prefix,se-,Synthetic meaning for pade
serawa,rawa,Prefix,se-,Synthetic meaning for rawa
sebule,bule,Prefix,se-,Synthetic meaning for bule
sebinar,binar,Prefix,se-,Synthetic meaning for binar
keulow,ulow,Prefix,ke-,Synthetic meaning for ulow
setilak,tilak,Prefix,se-,Synthetic meaning for tilak
betulan,tulan,Prefix,be-,Synthetic meaning for tulan
sedike,dike,Prefix,se-,Synthetic meaning for dike
pelenga,lenga,Prefix,pe-,Synthetic meaning for lenga
pesabo,sabo,Prefix,pe-,Synthetic meaning for sabo
serawa,rawa,Prefix,se-,Synthetic meaning for rawa
peulow,ulow,Prefix,pe-,Synthetic meaning for ulow
pedike,dike,Prefix,pe-,Synthetic meaning for dike
kerendo,rendo,Prefix,ke-,Synthetic meaning for rendo
selenga,lenga,Prefix,se-,Synthetic meaning for lenga
becinde,cinde,Prefix,be-,Synthetic meaning for cinde
perawa,rawa,Prefix,pe-,Synthetic meaning for rawa
sebajik,bajik,Prefix,se-,Synthetic meaning for bajik
kelenga,lenga,Prefix,ke-,Synthetic meaning for lenga
betabik,tabik,Prefix,be-,Synthetic meaning for tabik
pecinde,cinde,Prefix,pe-,Synthetic meaning for cinde
kesaren,saren,Prefix,ke-,Synthetic meaning for saren
kedulen,dulen,Prefix,ke-,Synthetic meaning for dulen
kebento,bento,Prefix,ke-,Synthetic meaning for bento
bebelai,belai,Prefix,be-,Synthetic meaning for belai
pesabo,sabo,Prefix,pe-,Synthetic meaning for sabo
segulai,gulai,Prefix,se-,Synthetic meaning for gulai
bepayo,payo,Prefix,be-,Synthetic meaning for payo
keserek,serek,Prefix,ke-,Synthetic meaning for serek
sepelak,pelak,Prefix,se-,Synthetic meaning for pelak
kekeme,keme,Prefix,ke-,Synthetic meaning for keme
sesuren,suren,Prefix,se-,Synthetic meaning for suren
betando,tando,Prefix,be-,Synthetic meaning for tando
belumang,lumang,Prefix,be-,Synthetic meaning for lumang
petabik,tabik,Prefix,pe-,Synthetic meaning for tabik
sepelak,pelak,Prefix,se-,Synthetic meaning for pelak
ketenyang,tenyang,Prefix,ke-,Synthetic meaning for tenyang
kelupak,lupak,Prefix,ke-,Synthetic meaning for lupak
bepelak,pelak,Prefix,be-,Synthetic meaning for pelak
kepayo,payo,Prefix,ke-,Synthetic meaning for payo
pepade,pade,Prefix,pe-,Synthetic meaning for pade
pepelak,pelak,Prefix,pe-,Synthetic meaning for pelak
pelenga,lenga,Prefix,pe-,Synthetic meaning for lenga
pemelak,melak,Prefix,pe-,Synthetic meaning for melak
pelumang,lumang,Prefix,pe-,Synthetic meaning for lumang
begulai,gulai,Prefix,be-,Synthetic meaning for gulai
kelenga,lenga,Prefix,ke-,Synthetic meaning for lenga
perenah,renah,Prefix,pe-,Synthetic meaning for renah
betilak,tilak,Prefix,be-,Synthetic meaning for tilak
kedike,dike,Prefix,ke-,Synthetic meaning for dike
sedulen,dulen,Prefix,se-,Synthetic meaning for dulen
sesaren,saren,Prefix,se-,Synthetic meaning for saren
serendo,rendo,Prefix,se-,Synthetic meaning for rendo
becinde,cinde,Prefix,be-,Synthetic meaning for cinde
kelumang,lumang,Prefix,ke-,Synthetic meaning for lumang
bebento,bento,Prefix,be-,Synthetic meaning for bento
setabik,tabik,Prefix,se-,Synthetic meaning for tabik
kebajik,bajik,Prefix,ke-,Synthetic meaning for bajik
pelumang,lumang,Prefix,pe-,Synthetic meaning for lumang
perendo,rendo,Prefix,pe-,Synthetic meaning for rendo
begelen,gelen,Prefix,be-,Synthetic meaning for gelen
pemelak,melak,Prefix,pe-,Synthetic meaning for melak
pepade,pade,Prefix,pe-,Synthetic meaning for pade
kebule,bule,Prefix,ke-,Synthetic meaning for bule
pepelak,pelak,Prefix,pe-,Synthetic meaning for pelak
kebinar,binar,Prefix,ke-,Synthetic meaning for binar
ketenyang,tenyang,Prefix,ke-,Synthetic meaning for tenyang
ketando,tando,Prefix,ke-,Synthetic meaning for tando
kelumang,lumang,Prefix,ke-,Synthetic meaning for lumang
betilak,tilak,Prefix,be-,Synthetic meaning for tilak
pemure,mure,Prefix,pe-,Synthetic meaning for mure
pebulen,bulen,Prefix,pe-,Synthetic meaning for bulen
kebule,bule,Prefix,ke-,Synthetic meaning for bule
becinde,cinde,Prefix,be-,Synthetic meaning for cinde
besabo,sabo,Prefix,be-,Synthetic meaning for sabo
keulow,ulow,Prefix,ke-,Synthetic meaning for ulow
pebento,bento,Prefix,pe-,Synthetic meaning for bento
serendo,rendo,Prefix,se-,Synthetic meaning for rendo
betilak,tilak,Prefix,be-,Synthetic meaning for tilak
kegulai,gulai,Prefix,ke-,Synthetic meaning for gulai
kebento,bento,Prefix,ke-,Synthetic meaning for bento
pekedah,kedah,Prefix,pe-,Synthetic meaning for kedah
sebajik,bajik,Prefix,se-,Synthetic meaning for bajik
sepade,pade,Prefix,se-,Synthetic meaning for pade
bedike,dike,Prefix,be-,Synthetic meaning for dike
sebule,bule,Prefix,se-,Synthetic meaning for bule
sekape,kape,Prefix,se-,Synthetic meaning for kape
perenah,renah,Prefix,pe-,Synthetic meaning for renah
pesirat,sirat,Prefix,pe-,Synthetic meaning for sirat
kengele,ngele,Prefix,ke-,Synthetic meaning for ngele
keguren,guren,Prefix,ke-,Synthetic meaning for guren
pedulen,dulen,Prefix,pe-,Synthetic meaning for dulen
kesemak,semak,Prefix,ke-,Synthetic meaning for semak
bemure,mure,Prefix,be-,Synthetic meaning for mure
pengele,ngele,Prefix,pe-,Synthetic meaning for ngele
berenah,renah,Prefix,be-,Synthetic meaning for renah
setulan,tulan,Prefix,se-,Synthetic meaning for tulan
pebelai,belai,Prefix,pe-,Synthetic meaning for belai
begenia,genia,Prefix,be-,Synthetic meaning for genia
sebengo,bengo,Prefix,se-,Synthetic meaning for bengo
setilak,tilak,Prefix,se-,Synthetic meaning for tilak
pebelai,belai,Prefix,pe-,Synthetic meaning for belai
kengele,ngele,Prefix,ke-,Synthetic meaning for ngele
petando,tando,Prefix,pe-,Synthetic meaning for tando
segulai,gulai,Prefix,se-,Synthetic meaning for gulai
kegulai,gulai,Prefix,ke-,Synthetic meaning for gulai
begulai,gulai,Prefix,be-,Synthetic meaning for gulai
setenyang,tenyang,Prefix,se-,Synthetic meaning for tenyang
semure,mure,Prefix,se-,Synthetic meaning for mure
pebelai,belai,Prefix,pe-,Synthetic meaning for belai
kebulen,bulen,Prefix,ke-,Synthetic meaning for bulen
besulu,sulu,Prefix,be-,Synthetic meaning for sulu
sebengo,bengo,Prefix,se-,Synthetic meaning for bengo
serawa,rawa,Prefix,se-,Synthetic meaning for rawa
bebengo,bengo,Prefix,be-,Synthetic meaning for bengo
segenia,genia,Prefix,se-,Synthetic meaning for genia
kelumang,lumang,Prefix,ke-,Synthetic meaning for lumang
keguren,guren,Prefix,ke-,Synthetic meaning for guren
sesemak,semak,Prefix,se-,Synthetic meaning for semak
belenga,lenga,Prefix,be-,Synthetic meaning for lenga
bedulen,dulen,Prefix,be-,Synthetic meaning for dulen
pecinde,cinde,Prefix,pe-,Synthetic meaning for cinde
kelenga,lenga,Prefix,ke-,Synthetic meaning for lenga
sedike,dike,Prefix,se-,Synthetic meaning for dike
semure,mure,Prefix,se-,Synthetic meaning for mure
kesemak,semak,Prefix,ke-,Synthetic meaning for semak
betilak,tilak,Prefix,be-,Synthetic meaning for tilak
belumang,lumang,Prefix,be-,Synthetic meaning for lumang
kedulen,dulen,Prefix,ke-,Synthetic meaning for dulen
kesirat,sirat,Prefix,ke-,Synthetic meaning for sirat
pesemak,semak,Prefix,pe-,Synthetic meaning for semak
setando,tando,Prefix,se-,Synthetic meaning for tando
bemure,mure,Prefix,be-,Synthetic meaning for mure
beulow,ulow,Prefix,be-,Synthetic meaning for ulow
kelumang,lumang,Prefix,ke-,Synthetic meaning for lumang
sekedah,kedah,Prefix,se-,Synthetic meaning for kedah
pemakan,makan,Prefix,pe-,Synthetic meaning for makan
kengele,ngele,Prefix,ke-,Synthetic meaning for ngele
sebule,bule,Prefix,se-,Synthetic meaning for bule
ketilak,tilak,Prefix,ke-,Synthetic meaning for tilak
kebulen,bulen,Prefix,ke-,Synthetic meaning for bulen
semure,mure,Prefix,se-,Synthetic meaning for mure
kepelak,pelak,Prefix,ke-,Synthetic meaning for pelak
bekedah,kedah,Prefix,be-,Synthetic meaning for kedah
kelenga,lenga,Prefix,ke-,Synthetic meaning for lenga
bebajik,bajik,Prefix,be-,Synthetic meaning for bajik
kekape,kape,Prefix,ke-,Synthetic meaning for kape
beguren,guren,Prefix,be-,Synthetic meaning for guren
serawa,rawa,Prefix,se-,Synthetic meaning for rawa
peserek,serek,Prefix,pe-,Synthetic meaning for serek
beguren,guren,Prefix,be-,Synthetic meaning for guren
sebulen,bulen,Prefix,se-,Synthetic meaning for bulen
sebule,bule,Prefix,se-,Synthetic meaning for bule
pemakan,makan,Prefix,pe-,Synthetic meaning for makan
beulow,ulow,Prefix,be-,Synthetic meaning for ulow
betando,tando,Prefix,be-,Synthetic meaning for tando
ketabik,tabik,Prefix,ke-,Synthetic meaning for tabik
pekape,kape,Prefix,pe-,Synthetic meaning for kape
pekape,kape,Prefix,pe-,Synthetic meaning for kape
sekape,kape,Prefix,se-,Synthetic meaning for kape
belenjo,lenjo,Prefix,be-,Synthetic meaning for lenjo
pepelak,pelak,Prefix,pe-,Synthetic meaning for pelak
pesaren,saren,Prefix,pe-,Synthetic meaning for saren
kepayo,payo,Prefix,ke-,Synthetic meaning for payo
selupak,lupak,Prefix,se-,Synthetic meaning for lupak
sesaren,saren,Prefix,se-,Synthetic meaning for saren
pengele,ngele,Prefix,pe-,Synthetic meaning for ngele
kerenah,renah,Prefix,ke-,Synthetic meaning for renah
kedulen,dulen,Prefix,ke-,Synthetic meaning for dulen
kebajik,bajik,Prefix,ke-,Synthetic meaning for bajik
setilak,tilak,Prefix,se-,Synthetic meaning for tilak
petando,tando,Prefix,pe-,Synthetic meaning for tando
ketulan,tulan,Prefix,ke-,Synthetic meaning for tulan
kesinge,singe,Prefix,ke-,Synthetic meaning for singe
kerendo,rendo,Prefix,ke-,Synthetic meaning for rendo
pepelak,pelak,Prefix,pe-,Synthetic meaning for pelak
sesuren,suren,Prefix,se-,Synthetic meaning for suren
sengele,ngele,Prefix,se-,Synthetic meaning for ngele
kebinar,binar,Prefix,ke-,Synthetic meaning for binar
bebengo,bengo,Prefix,be-,Synthetic meaning for bengo
secinde,cinde,Prefix,se-,Synthetic meaning for cinde
kedulen,dulen,Prefix,ke-,Synthetic meaning for dulen
perendo,rendo,Prefix,pe-,Synthetic meaning for rendo
bebengo,bengo,Prefix,be-,Synthetic meaning for bengo
bebengo,bengo,Prefix,be-,Synthetic meaning for bengo
sebinar,binar,Prefix,se-,Synthetic meaning for binar
kebento,bento,Prefix,ke-,Synthetic meaning for bento
selenjo,lenjo,Prefix,se-,Synthetic meaning for lenjo
pekeme,keme,Prefix,pe-,Synthetic meaning for keme
kedulen,dulen,Prefix,ke-,Synthetic meaning for dulen
kepayo,payo,Prefix,ke-,Synthetic meaning for payo
belumang,lumang,Prefix,be-,Synthetic meaning for lumang
petilak,tilak,Prefix,pe-,Synthetic meaning for tilak
bebelai,belai,Prefix,be-,Synthetic meaning for belai
pelupak,lupak,Prefix,pe-,Synthetic meaning for lupak
pesarek,sarek,Prefix,pe-,Synthetic meaning for sarek
besulu,sulu,Prefix,be-,Synthetic meaning for sulu
kekape,kape,Prefix,ke-,Synthetic meaning for kape
sepelak,pelak,Prefix,se-,Synthetic meaning for pelak
pegenia,genia,Prefix,pe-,Synthetic meaning for genia
pelekak,lekak,Prefix,pe-,Synthetic meaning for lekak
sekape,kape,Prefix,se-,Synthetic meaning for kape
pekedah,kedah,Prefix,pe-,Synthetic meaning for kedah
kesemak,semak,Prefix,ke-,Synthetic meaning for semak
kengele,ngele,Prefix,ke-,Synthetic meaning for ngele
bebento,bento,Prefix,be-,Synthetic meaning for bento
berendo,rendo,Prefix,be-,Synthetic meaning for rendo
pebento,bento,Prefix,pe-,Synthetic meaning for bento
bedulen,dulen,Prefix,be-,Synthetic meaning for dulen
segawai,gawai,Prefix,se-,Synthetic meaning for gawai
begawai,gawai,Prefix,be-,Synthetic meaning for gawai
sedulen,dulen,Prefix,se-,Synthetic meaning for dulen
kegawai,gawai,Prefix,ke-,Synthetic meaning for gawai
beulow,ulow,Prefix,be-,Synthetic meaning for ulow
bepade,pade,Prefix,be-,Synthetic meaning for pade
kesirat,sirat,Prefix,ke-,Synthetic meaning for sirat
serenah,renah,Prefix,se-,Synthetic meaning for renah
selumang,lumang,Prefix,se-,Synthetic meaning for lumang
petulan,tulan,Prefix,pe-,Synthetic meaning for tulan
kemelak,melak,Prefix,ke-,Synthetic meaning for melak
sebule,bule,Prefix,se-,Synthetic meaning for bule
kebento,bento,Prefix,ke-,Synthetic meaning for bento
pepelak,pelak,Prefix,pe-,Synthetic meaning for pelak
kelekak,lekak,Prefix,ke-,Synthetic meaning for lekak
pebengo,bengo,Prefix,pe-,Synthetic meaning for bengo
segawai,gawai,Prefix,se-,Synthetic meaning for gawai
kegelen,gelen,Prefix,ke-,Synthetic meaning for gelen
setenyang,tenyang,Prefix,se-,Synthetic meaning for tenyang
belupak,lupak,Prefix,be-,Synthetic meaning for lupak
pegawai,gawai,Prefix,pe-,Synthetic meaning for gawai
kekedah,kedah,Prefix,ke-,Synthetic meaning for kedah
bebelai,belai,Prefix,be-,Synthetic meaning for belai
seserek,serek,Prefix,se-,Synthetic meaning for serek
sebelai,belai,Prefix,se-,Synthetic meaning for belai
kesemak,semak,Prefix,ke-,Synthetic meaning for semak
kesirat,sirat,Prefix,ke-,Synthetic meaning for sirat
bebulen,bulen,Prefix,be-,Synthetic meaning for bulen
keserek,serek,Prefix,ke-,Synthetic meaning for serek
pesuren,suren,Prefix,pe-,Synthetic meaning for suren
besulu,sulu,Prefix,be-,Synthetic meaning for sulu
kerenah,renah,Prefix,ke-,Synthetic meaning for renah
sebule,bule,Prefix,se-,Synthetic meaning for bule
kebajik,bajik,Prefix,ke-,Synthetic meaning for bajik
besuren,suren,Prefix,be-,Synthetic meaning for suren
kesarek,sarek,Prefix,ke-,Synthetic meaning for sarek
pelenga,lenga,Prefix,pe-,Synthetic meaning for lenga
pesinge,singe,Prefix,pe-,Synthetic meaning for singe
pekedah,kedah,Prefix,pe-,Synthetic meaning for kedah
kerenah,renah,Prefix,ke-,Synthetic meaning for renah
sekape,kape,Prefix,se-,Synthetic meaning for kape
pesemak,semak,Prefix,pe-,Synthetic meaning for semak
pesemak,semak,Prefix,pe-,Synthetic meaning for semak
bebajik,bajik,Prefix,be-,Synthetic meaning for bajik
sesaren,saren,Prefix,se-,Synthetic meaning for saren
kesaren,saren,Prefix,ke-,Synthetic meaning for saren
bedike,dike,Prefix,be-,Synthetic meaning for dike
pesulu,sulu,Prefix,pe-,Synthetic meaning for sulu
pecinde,cinde,Prefix,pe-,Synthetic meaning for cinde
kebule,bule,Prefix,ke-,Synthetic meaning for bule
sesaren,saren,Prefix,se-,Synthetic meaning for saren
pemelak,melak,Prefix,pe-,Synthetic meaning for melak
sepelak,pelak,Prefix,se-,Synthetic meaning for pelak
setenyang,tenyang,Prefix,se-,Synthetic meaning for tenyang
sesulu,sulu,Prefix,se-,Synthetic meaning for sulu
selumang,lumang,Prefix,se-,Synthetic meaning for lumang
berenah,renah,Prefix,be-,Synthetic meaning for renah
sepayo,payo,Prefix,se-,Synthetic meaning for payo
kebajik,bajik,Prefix,ke-,Synthetic meaning for bajik
beguren,guren,Prefix,be-,Synthetic meaning for guren
kedulen,dulen,Prefix,ke-,Synthetic meaning for dulen
pelekak,lekak,Prefix,pe-,Synthetic meaning for lekak
bebulen,bulen,Prefix,be-,Synthetic meaning for bulen
seulow,ulow,Prefix,se-,Synthetic meaning for ulow
bebinar,binar,Prefix,be-,Synthetic meaning for binar
bedulen,dulen,Prefix,be-,Synthetic meaning for dulen
sedike,dike,Prefix,se-,Synthetic meaning for dike
keulow,ulow,Prefix,ke-,Synthetic meaning for ulow
pekape,kape,Prefix,pe-,Synthetic meaning for kape
perendo,rendo,Prefix,pe-,Synthetic meaning for rendo
serendo,rendo,Prefix,se-,Synthetic meaning for rendo
selenga,lenga,Prefix,se-,Synthetic meaning for lenga
setabik,tabik,Prefix,se-,Synthetic meaning for tabik
begupak,gupak,Prefix,be-,Synthetic meaning for gupak
pebajik,bajik,Prefix,pe-,Synthetic meaning for bajik
kebento,bento,Prefix,ke-,Synthetic meaning for bento
pemelak,melak,Prefix,pe-,Synthetic meaning for melak
sedulen,dulen,Prefix,se-,Synthetic meaning for dulen
pesaren,saren,Prefix,pe-,Synthetic meaning for saren
peguren,guren,Prefix,pe-,Synthetic meaning for guren
belekak,lekak,Prefix,be-,Synthetic meaning for lekak
sepade,pade,Prefix,se-,Synthetic meaning for pade
sebajik,bajik,Prefix,se-,Synthetic meaning for bajik
sedulen,dulen,Prefix,se-,Synthetic meaning for dulen
pesinge,singe,Prefix,pe-,Synthetic meaning for singe
kerenah,renah,Prefix,ke-,Synthetic meaning for renah
kemakan,makan,Prefix,ke-,Synthetic meaning for makan
betando,tando,Prefix,be-,Synthetic meaning for tando
seulow,ulow,Prefix,se-,Synthetic meaning for ulow
betilak,tilak,Prefix,be-,Synthetic meaning for tilak
pebelai,belai,Prefix,pe-,Synthetic meaning for belai
bedike,dike,Prefix,be-,Synthetic meaning for dike
berawa,rawa,Prefix,be-,Synthetic meaning for rawa
betabik,tabik,Prefix,be-,Synthetic meaning for tabik
bebelai,belai,Prefix,be-,Synthetic meaning for belai
sedulen,dulen,Prefix,se-,Synthetic meaning for dulen
pesinge,singe,Prefix,pe-,Synthetic meaning for singe
besemak,semak,Prefix,be-,Synthetic meaning for semak
kelumang,lumang,Prefix,ke-,Synthetic meaning for lumang
kesinge,singe,Prefix,ke-,Synthetic meaning for singe
kecinde,cinde,Prefix,ke-,Synthetic meaning for cinde
kebelai,belai,Prefix,ke-,Synthetic meaning for belai
pemakan,makan,Prefix,pe-,Synthetic meaning for makan
kekape,kape,Prefix,ke-,Synthetic meaning for kape
betulan,tulan,Prefix,be-,Synthetic meaning for tulan
pepayo,payo,Prefix,pe-,Synthetic meaning for payo
sesarek,sarek,Prefix,se-,Synthetic meaning for sarek
sepayo,payo,Prefix,se-,Synthetic meaning for payo
kesulu,sulu,Prefix,ke-,Synthetic meaning for sulu
sebento,bento,Prefix,se-,Synthetic meaning for bento
kesaren,saren,Prefix,ke-,Synthetic meaning for saren
sesuren,suren,Prefix,se-,Synthetic meaning for suren
pekape,kape,Prefix,pe-,Synthetic meaning for kape
sepade,pade,Prefix,se-,Synthetic meaning for pade
segawai,gawai,Prefix,se-,Synthetic meaning for gawai
pebelai,belai,Prefix,pe-,Synthetic meaning for belai
pepade,pade,Prefix,pe-,Synthetic meaning for pade
berenah,renah,Prefix,be-,Synthetic meaning for renah
sepayo,payo,Prefix,se-,Synthetic meaning for payo
pekape,kape,Prefix,pe-,Synthetic meaning for kape
pegupak,gupak,Prefix,pe-,Synthetic meaning for gupak
peserek,serek,Prefix,pe-,Synthetic meaning for serek
besirat,sirat,Prefix,be-,Synthetic meaning for sirat
ketabik,tabik,Prefix,ke-,Synthetic meaning for tabik
petenyang,tenyang,Prefix,pe-,Synthetic meaning for tenyang
kesulu,sulu,Prefix,ke-,Synthetic meaning for sulu
begupak,gupak,Prefix,be-,Synthetic meaning for gupak
pedike,dike,Prefix,pe-,Synthetic meaning for dike
pesemak,semak,Prefix,pe-,Synthetic meaning for semak
pekedah,kedah,Prefix,pe-,Synthetic meaning for kedah
kesirat,sirat,Prefix,ke-,Synthetic meaning for sirat
pelekak,lekak,Prefix,pe-,Synthetic meaning for lekak
betando,tando,Prefix,be-,Synthetic meaning for tando
selenjo,lenjo,Prefix,se-,Synthetic meaning for lenjo
pebelai,belai,Prefix,pe-,Synthetic meaning for belai
pedulen,dulen,Prefix,pe-,Synthetic meaning for dulen
kepayo,payo,Prefix,ke-,Synthetic meaning for payo
kerendo,rendo,Prefix,ke-,Synthetic meaning for rendo
segupak,gupak,Prefix,se-,Synthetic meaning for gupak
kedulen,dulen,Prefix,ke-,Synthetic meaning for dulen
kepade,pade,Prefix,ke-,Synthetic meaning for pade
selenga,lenga,Prefix,se-,Synthetic meaning for lenga
berenah,renah,Prefix,be-,Synthetic meaning for renah
seguren,guren,Prefix,se-,Synthetic meaning for guren
kesemak,semak,Prefix,ke-,Synthetic meaning for semak
kekeme,keme,Prefix,ke-,Synthetic meaning for keme
sengele,ngele,Prefix,se-,Synthetic meaning for ngele
peulow,ulow,Prefix,pe-,Synthetic meaning for ulow
pelenjo,lenjo,Prefix,pe-,Synthetic meaning for lenjo
kesabo,sabo,Prefix,ke-,Synthetic meaning for sabo
sepayo,payo,Prefix,se-,Synthetic meaning for payo
pebengo,bengo,Prefix,pe-,Synthetic meaning for bengo
ketando,tando,Prefix,ke-,Synthetic meaning for tando
sesinge,singe,Prefix,se-,Synthetic meaning for singe
pecinde,cinde,Prefix,pe-,Synthetic meaning for cinde
kegulai,gulai,Prefix,ke-,Synthetic meaning for gulai
seserek,serek,Prefix,se-,Synthetic meaning for serek
seguren,guren,Prefix,se-,Synthetic meaning for guren
perenah,renah,Prefix,pe-,Synthetic meaning for renah
keguren,guren,Prefix,ke-,Synthetic meaning for guren
pebule,bule,Prefix,pe-,Synthetic meaning for bule
seguren,guren,Prefix,se-,Synthetic meaning for guren
begawai,gawai,Prefix,be-,Synthetic meaning for gawai
besaren,saren,Prefix,be-,Synthetic meaning for saren
bedike,dike,Prefix,be-,Synthetic meaning for dike
besemak,semak,Prefix,be-,Synthetic meaning for semak
pekape,kape,Prefix,pe-,Synthetic meaning for kape
pesarek,sarek,Prefix,pe-,Synthetic meaning for sarek
pedike,dike,Prefix,pe-,Synthetic meaning for dike
pelekak,lekak,Prefix,pe-,Synthetic meaning for lekak
semure,mure,Prefix,se-,Synthetic meaning for mure
belenga,lenga,Prefix,be-,Synthetic meaning for lenga
setilak,tilak,Prefix,se-,Synthetic meaning for tilak
selupak,lupak,Prefix,se-,Synthetic meaning for lupak
besabo,sabo,Prefix,be-,Synthetic meaning for sabo
sedulen,dulen,Prefix,se-,Synthetic meaning for dulen
belekak,lekak,Prefix,be-,Synthetic meaning for lekak
kesaren,saren,Prefix,ke-,Synthetic meaning for saren
kedulen,dulen,Prefix,ke-,Synthetic meaning for dulen
sesabo,sabo,Prefix,se-,Synthetic meaning for sabo
begawai,gawai,Prefix,be-,Synthetic meaning for gawai
pegenia,genia,Prefix,pe-,Synthetic meaning for genia
pebelai,belai,Prefix,pe-,Synthetic meaning for belai
ketilak,tilak,Prefix,ke-,Synthetic meaning for tilak
kebinar,binar,Prefix,ke-,Synthetic meaning for binar
bedulen,dulen,Prefix,be-,Synthetic meaning for dulen
selenga,lenga,Prefix,se-,Synthetic meaning for lenga
perenah,renah,Prefix,pe-,Synthetic meaning for renah
pesuren,suren,Prefix,pe-,Synthetic meaning for suren
bepade,pade,Prefix,be-,Synthetic meaning for pade
bebento,bento,Prefix,be-,Synthetic meaning for bento
setenyang,tenyang,Prefix,se-,Synthetic meaning for tenyang
segupak,gupak,Prefix,se-,Synthetic meaning for gupak
sepayo,payo,Prefix,se-,Synthetic meaning for payo
besulu,sulu,Prefix,be-,Synthetic meaning for sulu
pesuren,suren,Prefix,pe-,Synthetic meaning for suren
setenyang,tenyang,Prefix,se-,Synthetic meaning for tenyang
kegelen,gelen,Prefix,ke-,Synthetic meaning for gelen
becinde,cinde,Prefix,be-,Synthetic meaning for cinde
besaren,saren,Prefix,be-,Synthetic meaning for saren
pesinge,singe,Prefix,pe-,Synthetic meaning for singe
sesuren,suren,Prefix,se-,Synthetic meaning for suren
betulan,tulan,Prefix,be-,Synthetic meaning for tulan
kedike,dike,Prefix,ke-,Synthetic meaning for dike
bedulen,dulen,Prefix,be-,Synthetic meaning for dulen
kegawai,gawai,Prefix,ke-,Synthetic meaning for gawai
pesabo,sabo,Prefix,pe-,Synthetic meaning for sabo
pebulen,bulen,Prefix,pe-,Synthetic meaning for bulen
sesemak,semak,Prefix,se-,Synthetic meaning for semak
kedike,dike,Prefix,ke-,Synthetic meaning for dike
pebule,bule,Prefix,pe-,Synthetic meaning for bule
secinde,cinde,Prefix,se-,Synthetic meaning for cinde
kebajik,bajik,Prefix,ke-,Synthetic meaning for bajik
pegupak,gupak,Prefix,pe-,Synthetic meaning for gupak
besuren,suren,Prefix,be-,Synthetic meaning for suren
kemure,mure,Prefix,ke-,Synthetic meaning for mure
besulu,sulu,Prefix,be-,Synthetic meaning for sulu
pegelen,gelen,Prefix,pe-,Synthetic meaning for gelen
kedike,dike,Prefix,ke-,Synthetic meaning for dike
serawa,rawa,Prefix,se-,Synthetic meaning for rawa
kerendo,rendo,Prefix,ke-,Synthetic meaning for rendo
kesabo,sabo,Prefix,ke-,Synthetic meaning for sabo
setabik,tabik,Prefix,se-,Synthetic meaning for tabik
kesinge,singe,Prefix,ke-,Synthetic meaning for singe
sepayo,payo,Prefix,se-,Synthetic meaning for payo
pegelen,gelen,Prefix,pe-,Synthetic meaning for gelen
sebajik,bajik,Prefix,se-,Synthetic meaning for bajik
ketenyang,tenyang,Prefix,ke-,Synthetic meaning for tenyang
bebelai,belai,Prefix,be-,Synthetic meaning for belai
ketenyang,tenyang,Prefix,ke-,Synthetic meaning for tenyang
semakan,makan,Prefix,se-,Synthetic meaning for makan
pepelak,pelak,Prefix,pe-,Synthetic meaning for pelak
selenjo,lenjo,Prefix,se-,Synthetic meaning for lenjo
kengele,ngele,Prefix,ke-,Synthetic meaning for ngele
